code_maitre,cle,classe,sous_classe,code_atih,libelle
F01.811,F01811,connu de l'ATIH,type MCO 0,F01811,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F01.812,F01812,connu de l'ATIH,type MCO 0,F01812,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F01.820,F01820,connu de l'ATIH,type MCO 0,F01820,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F01.821,F01821,connu de l'ATIH,type MCO 0,F01821,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F01.822,F01822,connu de l'ATIH,type MCO 0,F01822,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F01.830,F01830,connu de l'ATIH,type MCO 0,F01830,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F01.831,F01831,connu de l'ATIH,type MCO 0,F01831,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F01.832,F01832,connu de l'ATIH,type MCO 0,F01832,"Autres formes de démence vasculaire - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F01.840,F01840,connu de l'ATIH,type MCO 0,F01840,"Autres formes de démence vasculaire - ""avec d’autres symptômes, mixtes"" - ""légère"""
F01.841,F01841,connu de l'ATIH,type MCO 0,F01841,"Autres formes de démence vasculaire - ""avec d’autres symptômes, mixtes"" - ""moyenne"""
F01.842,F01842,connu de l'ATIH,type MCO 0,F01842,"Autres formes de démence vasculaire - ""avec d’autres symptômes, mixtes"" - ""sévère"""
F01.900,F01900,connu de l'ATIH,type MCO 0,F01900,"Démence vasculaire, sans précision - ""sans symptôme supplémentaire"" - ""légère"""
F01.901,F01901,connu de l'ATIH,type MCO 0,F01901,"Démence vasculaire, sans précision - ""sans symptôme supplémentaire"" - ""moyenne"""
F01.902,F01902,connu de l'ATIH,type MCO 0,F01902,"Démence vasculaire, sans précision - ""sans symptôme supplémentaire"" - ""sévère"""
F01.910,F01910,connu de l'ATIH,type MCO 0,F01910,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement délirants"" - ""légère"""
F01.911,F01911,connu de l'ATIH,type MCO 0,F01911,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement délirants"" - ""moyenne"""
F01.912,F01912,connu de l'ATIH,type MCO 0,F01912,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement délirants"" - ""sévère"""
F01.920,F01920,connu de l'ATIH,type MCO 0,F01920,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""légère"""
F01.921,F01921,connu de l'ATIH,type MCO 0,F01921,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""moyenne"""
F01.922,F01922,connu de l'ATIH,type MCO 0,F01922,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement hallucinatoires"" - ""sévère"""
F01.930,F01930,connu de l'ATIH,type MCO 0,F01930,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement dépressifs"" - ""légère"""
F01.931,F01931,connu de l'ATIH,type MCO 0,F01931,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement dépressifs"" - ""moyenne"""
F01.932,F01932,connu de l'ATIH,type MCO 0,F01932,"Démence vasculaire, sans précision - ""avec d’autres symptômes, essentiellement dépressifs"" - ""sévère"""
F01.940,F01940,connu de l'ATIH,type MCO 0,F01940,"Démence vasculaire, sans précision - ""avec d’autres symptômes, mixtes"" - ""légère"""
