code,field,owl_value,ofs_value,resolved_to
M90.64,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Main """,ostéite déformante au cours de maladies tumorales | main,OWL_ANS
M90.65,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Région pelvienne et cuisse """,ostéite déformante au cours de maladies tumorales | région pelvienne et cuisse,OWL_ANS
M90.66,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Jambe """,ostéite déformante au cours de maladies tumorales | jambe,OWL_ANS
M90.67,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Cheville et pied """,ostéite déformante au cours de maladies tumorales | cheville et pied,OWL_ANS
M90.68,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Autres """,ostéite déformante au cours de maladies tumorales | autres,OWL_ANS
M90.69,label,"Ostéite déformante au cours de maladies tumorales [C00-D48]   - "" Siège non précisé """,ostéite déformante au cours de maladies tumorales | siège non précisé,OWL_ANS
M90.70,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Sièges multiples """,fracture osseuse au cours de maladies tumorales | sièges multiples,OWL_ANS
M90.71,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Région scapulaire """,fracture osseuse au cours de maladies tumorales | région scapulaire,OWL_ANS
M90.72,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Bras """,fracture osseuse au cours de maladies tumorales | bras,OWL_ANS
M90.73,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Avant-bras """,fracture osseuse au cours de maladies tumorales | avant-bras,OWL_ANS
M90.74,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Main """,fracture osseuse au cours de maladies tumorales | main,OWL_ANS
M90.75,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Région pelvienne et cuisse """,fracture osseuse au cours de maladies tumorales | région pelvienne et cuisse,OWL_ANS
M90.76,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Jambe """,fracture osseuse au cours de maladies tumorales | jambe,OWL_ANS
M90.77,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Cheville et pied """,fracture osseuse au cours de maladies tumorales | cheville et pied,OWL_ANS
M90.78,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Autres """,fracture osseuse au cours de maladies tumorales | autres,OWL_ANS
M90.79,label,"Fracture osseuse au cours de maladies tumorales [C00-D48]   - "" Siège non précisé """,fracture osseuse au cours de maladies tumorales | siège non précisé,OWL_ANS
M90.80,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Sièges multiples """,ostéopathie au cours d'autres maladies classées ailleurs | sièges multiples,OWL_ANS
M90.81,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Région scapulaire """,ostéopathie au cours d'autres maladies classées ailleurs | région scapulaire,OWL_ANS
M90.82,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Bras """,ostéopathie au cours d'autres maladies classées ailleurs | bras,OWL_ANS
M90.83,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Avant-bras """,ostéopathie au cours d'autres maladies classées ailleurs | avant-bras,OWL_ANS
M90.84,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Main """,ostéopathie au cours d'autres maladies classées ailleurs | main,OWL_ANS
M90.85,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Région pelvienne et cuisse """,ostéopathie au cours d'autres maladies classées ailleurs | région pelvienne et cuisse,OWL_ANS
M90.86,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Jambe """,ostéopathie au cours d'autres maladies classées ailleurs | jambe,OWL_ANS
M90.87,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Cheville et pied """,ostéopathie au cours d'autres maladies classées ailleurs | cheville et pied,OWL_ANS
M90.88,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Autres """,ostéopathie au cours d'autres maladies classées ailleurs | autres,OWL_ANS
M90.89,label,"Ostéopathie au cours d'autres maladies classées ailleurs - "" Siège non précisé """,ostéopathie au cours d'autres maladies classées ailleurs | siège non précisé,OWL_ANS
M91.00,label,"Ostéochondrite juvénile du bassin - "" Sièges multiples """,ostéochondrite juvénile du bassin | sièges multiples,OWL_ANS
M91.01,label,"Ostéochondrite juvénile du bassin - "" Région scapulaire """,ostéochondrite juvénile du bassin | région scapulaire,OWL_ANS
M91.02,label,"Ostéochondrite juvénile du bassin - "" Bras """,ostéochondrite juvénile du bassin | bras,OWL_ANS
M91.03,label,"Ostéochondrite juvénile du bassin - "" Avant-bras """,ostéochondrite juvénile du bassin | avant-bras,OWL_ANS
M91.04,label,"Ostéochondrite juvénile du bassin - "" Main """,ostéochondrite juvénile du bassin | main,OWL_ANS
M91.05,label,"Ostéochondrite juvénile du bassin - "" Région pelvienne et cuisse """,ostéochondrite juvénile du bassin | région pelvienne et cuisse,OWL_ANS
M91.06,label,"Ostéochondrite juvénile du bassin - "" Jambe """,ostéochondrite juvénile du bassin | jambe,OWL_ANS
M91.07,label,"Ostéochondrite juvénile du bassin - "" Cheville et pied """,ostéochondrite juvénile du bassin | cheville et pied,OWL_ANS
M91.08,label,"Ostéochondrite juvénile du bassin - "" Autres """,ostéochondrite juvénile du bassin | autres,OWL_ANS
