code,field,owl_value,ofs_value,resolved_to
C49.0,label,"Tumeur maligne du tissu conjonctif et des autres tissus mous de la tête, de la face et du cou","tissu conjonctif et autres tissus mous de la tête, de la face et du cou",OWL_ANS
C49.1,label,"Tumeur maligne du tissu conjonctif et des autres tissus mous du membre supérieur, y compris l'épaule","tissu conjonctif et autres tissus mous du membre supérieur, y compris l'épaule",OWL_ANS
C49.2,label,"Tumeur maligne du tissu conjonctif et des autres tissus mous du membre inférieur, y compris la hanche","tissu conjonctif et autres tissus mous du membre inférieur, y compris la hanche",OWL_ANS
C49.3,label,Tumeur maligne du tissu conjonctif et des autres tissus mous du thorax,tissu conjonctif et autres tissus mous du thorax,OWL_ANS
C49.4,label,Tumeur maligne du tissu conjonctif et des autres tissus mous de l'abdomen,tissu conjonctif et autres tissus mous de l'abdomen,OWL_ANS
C49.5,label,Tumeur maligne du tissu conjonctif et des autres tissus mous du pelvis,tissu conjonctif et autres tissus mous du pelvis,OWL_ANS
C49.6,label,"Tumeur maligne du tissu conjonctif et des autres tissus mous du tronc, sans précision","tissu conjonctif et autres tissus mous du tronc, sans précision",OWL_ANS
C49.8,label,Tumeur maligne à localisations contiguës du tissu conjonctif et des autres tissus mous,lésion à localisations contiguës du tissu conjonctif et des autres tissus mous,OWL_ANS
C49.9,label,"Tumeur maligne du tissu conjonctif et des autres tissus mous, sans précision","tissu conjonctif et autres tissus mous, sans précision",OWL_ANS
C50.0,label,Tumeur maligne du mamelon et de l'aréole,mamelon et aréole,OWL_ANS
C50.1,label,Tumeur maligne de la partie centrale du sein,partie centrale du sein,OWL_ANS
C50.2,label,Tumeur maligne du quadrant supéro-interne du sein,quadrant supéro-interne du sein,OWL_ANS
C50.3,label,Tumeur maligne du quadrant inféro-interne du sein,quadrant inféro-interne du sein,OWL_ANS
C50.4,label,Tumeur maligne du quadrant supéro-externe du sein,quadrant supéro-externe du sein,OWL_ANS
C50.5,label,Tumeur maligne du quadrant inféro-externe du sein,quadrant inféro-externe du sein,OWL_ANS
C50.6,label,Tumeur maligne du prolongement axillaire du sein,prolongement axillaire du sein,OWL_ANS
C50.8,label,Tumeur maligne à localisations contiguës du sein,lésion à localisations contiguës du sein,OWL_ANS
C50.9,label,"Tumeur maligne du sein, sans précision","sein, sans précision",OWL_ANS
C51.0,label,Tumeur maligne de la grande lèvre,grande lèvre,OWL_ANS
C51.1,label,Tumeur maligne de la petite lèvre,petite lèvre,OWL_ANS
C51.2,label,Tumeur maligne du clitoris,clitoris,OWL_ANS
C51.8,label,Tumeur maligne à localisations contiguës de la vulve,lésion à localisations contiguës de la vulve,OWL_ANS
C51.9,label,"Tumeur maligne de la vulve, sans précision","vulve, sans précision",OWL_ANS
C53.0,label,Tumeur maligne de l'endocol,endocol,OWL_ANS
C53.1,label,Tumeur maligne de l'exocol,exocol,OWL_ANS
C53.8,label,Tumeur maligne à localisations contiguës du col de l'utérus,lésion à localisations contiguës du col de l'utérus,OWL_ANS
C53.9,label,"Tumeur maligne du col de l'utérus, sans précision","col de l'utérus, sans précision",OWL_ANS
C54.0,label,Tumeur maligne de l'isthme de l'utérus,isthme de l'utérus,OWL_ANS
C54.1,label,Tumeur maligne de l'endomètre,endomètre,OWL_ANS
C54.2,label,Tumeur maligne du myomètre,myomètre,OWL_ANS
C54.3,label,Tumeur maligne du fond de l'utérus,fond de l'utérus,OWL_ANS
C54.8,label,Tumeur maligne à localisations contiguës du corps de l'utérus,lésion à localisations contiguës du corps de l'utérus,OWL_ANS
C54.9,label,"Tumeur maligne du corps de l'utérus, sans précision","corps de l'utérus, sans précision",OWL_ANS
C57.0,label,Tumeur maligne d'une trompe de Fallope,trompe de Fallope,OWL_ANS
C57.1,label,Tumeur maligne d'un ligament large,ligament large,OWL_ANS
C57.2,label,Tumeur maligne d'un ligament rond,ligament rond,OWL_ANS
C57.3,label,Tumeur maligne d'un paramètre,paramètre,OWL_ANS
C57.4,label,"Tumeur maligne des annexes de l'utérus, sans précision","annexes de l'utérus, sans précision",OWL_ANS
C57.7,label,Tumeur maligne d'autres organes génitaux de la femme précisés,autres organes génitaux de la femme précisés,OWL_ANS
C57.8,label,Tumeur maligne à localisations contiguës des organes génitaux de la femme,lésion à localisations contiguës des organes génitaux de la femme,OWL_ANS
C57.9,label,"Tumeur maligne d'un organe génital de la femme, sans précision","organe génital de la femme, sans précision",OWL_ANS
C60.0,label,Tumeur maligne du prépuce,prépuce,OWL_ANS
C60.1,label,Tumeur maligne du gland,gland,OWL_ANS
C60.2,label,Tumeur maligne du corps de la verge,corps de la verge,OWL_ANS
C60.8,label,Tumeur maligne à localisations contiguës de la verge,lésion à localisations contiguës de la verge,OWL_ANS
C60.9,label,"Tumeur maligne de la verge, sans précision","verge, sans précision",OWL_ANS
C62.0,label,Tumeur maligne du testicule ectopique,cryptorchidie,OWL_ANS
C62.1,label,Tumeur maligne du testicule descendu,testicule descendu,OWL_ANS
C62.9,label,"Tumeur maligne d'un testicule, sans précision","testicule, sans précision",OWL_ANS
C63.0,label,Tumeur maligne de l'épididyme,épididyme,OWL_ANS
C63.1,label,Tumeur maligne du cordon spermatique,cordon spermatique,OWL_ANS
C63.2,label,Tumeur maligne du scrotum,scrotum,OWL_ANS
C63.7,label,Tumeur maligne d'autres organes génitaux de l'homme précisés,autres organes génitaux de l'homme précisés,OWL_ANS
C63.8,label,Tumeur maligne à localisations contiguës des organes génitaux de l'homme,lésion à localisations contiguës des organes génitaux de l'homme,OWL_ANS
C63.9,label,"Tumeur maligne d'un organe génital de l'homme, sans précision","organe génital de l'homme, sans précision",OWL_ANS
C67.0,label,Tumeur maligne du trigone de la vessie,trigone de la vessie,OWL_ANS
C67.1,label,Tumeur maligne du dôme de la vessie,dôme de la vessie,OWL_ANS
C67.2,label,Tumeur maligne de la paroi latérale de la vessie,paroi latérale de la vessie,OWL_ANS
C67.3,label,Tumeur maligne de la paroi antérieure de la vessie,paroi antérieure de la vessie,OWL_ANS
C67.4,label,Tumeur maligne de la paroi postérieure de la vessie,paroi postérieure de la vessie,OWL_ANS
C67.5,label,Tumeur maligne du col vésical,col vésical,OWL_ANS
C67.6,label,Tumeur maligne de l'orifice urétéral,orifice urétéral,OWL_ANS
C67.7,label,Tumeur maligne de l'ouraque,ouraque,OWL_ANS
C67.8,label,Tumeur maligne à localisations contiguës de la vessie,lésion à localisations contiguës de la vessie,OWL_ANS
C67.9,label,"Tumeur maligne de la vessie, sans précision","vessie, sans précision",OWL_ANS
C68.0,label,Tumeur maligne de l'urètre,urètre,OWL_ANS
C68.1,label,Tumeur maligne de la glande urétrale,glande urétrale,OWL_ANS
C68.8,label,Tumeur maligne à localisations contiguës des organes urinaires,lésion à localisations contiguës des organes urinaires,OWL_ANS
C68.9,label,"Tumeur maligne d'un organe urinaire, sans précision","organe urinaire, sans précision",OWL_ANS
C69-C72,label,"Tumeurs malignes de l'œil, de l'encéphale et d'autres parties du système nerveux central","tumeurs malignes de l'oeil, de l'encéphale et d'autres parties du système nerveux central",OWL_ANS
C69.0,label,Tumeur maligne de la conjonctive,conjonctive,OWL_ANS
C69.1,label,Tumeur maligne de la cornée,cornée,OWL_ANS
C69.2,label,Tumeur maligne de la rétine,rétine,OWL_ANS
C69.3,label,Tumeur maligne de la choroïde,choroïde,OWL_ANS
C69.4,label,Tumeur maligne du corps ciliaire,corps ciliaire,OWL_ANS
C69.5,label,Tumeur maligne de la glande lacrymale et du canal lacrymal,glande lacrymale et canal lacrymal,OWL_ANS
C69.6,label,Tumeur maligne de l'orbite,orbite,OWL_ANS
C69.8,label,Tumeur maligne à localisations contiguës de l'oeil et de ses annexes,lésion à localisations contiguës de l'oeil et de ses annexes,OWL_ANS
C69.9,label,"Tumeur maligne de l'oeil, sans précision","oeil, sans précision",OWL_ANS
C70.0,label,Tumeur maligne des méninges cérébrales,méninges cérébrales,OWL_ANS
C70.1,label,Tumeur maligne des méninges rachidiennes,méninges rachidiennes,OWL_ANS
C70.9,label,"Tumeur maligne des méninges, sans précision","méninges, sans précision",OWL_ANS
C71.0,label,"Tumeur maligne du cerveau, sauf lobes et ventricules","cerveau, sauf lobes et ventricules",OWL_ANS
C71.1,label,Tumeur maligne du lobe frontal,lobe frontal,OWL_ANS
C71.2,label,Tumeur maligne du lobe temporal,lobe temporal,OWL_ANS
C71.3,label,Tumeur maligne du lobe pariétal,lobe pariétal,OWL_ANS
C71.4,label,Tumeur maligne du lobe occipital,lobe occipital,OWL_ANS
C71.5,label,Tumeur maligne d'un ventricule cérébral,ventricule cérébral,OWL_ANS
C71.6,label,Tumeur maligne du cervelet,cervelet,OWL_ANS
C71.7,label,Tumeur maligne du tronc cérébral,tronc cérébral,OWL_ANS
C71.8,label,Tumeur maligne à localisations contiguës de l'encéphale,lésion à localisations contiguës de l'encéphale,OWL_ANS
C71.9,label,"Tumeur maligne de l'encéphale, sans précision","encéphale, sans précision",OWL_ANS
C72.0,label,Tumeur maligne de la moelle épinière,moelle épinière,OWL_ANS
C72.1,label,Tumeur maligne de la queue de cheval,queue de cheval,OWL_ANS
C72.2,label,Tumeur maligne du nerf olfactif,nerf olfactif,OWL_ANS
C72.3,label,Tumeur maligne du nerf optique,nerf optique,OWL_ANS
C72.4,label,Tumeur maligne du nerf auditif,nerf auditif,OWL_ANS
C72.5,label,"Tumeur maligne des nerfs crâniens, autres et non précisés","nerfs crâniens, autres et non précisés",OWL_ANS
C72.8,label,Tumeur maligne à localisations contiguës de l'encéphale et d'autres parties du système nerveux central,lésion à localisations contiguës de l'encéphale et d'autres parties du système nerveux central,OWL_ANS
C72.9,label,"Tumeur maligne du système nerveux central, sans précision","système nerveux central, sans précision",OWL_ANS
C74.0,label,Tumeur maligne du cortex de la surrénale,cortex de la surrénale,OWL_ANS
C74.1,label,Tumeur maligne de la médullosurrénale,médullosurrénale,OWL_ANS
C74.9,label,"Tumeur maligne de la surrénale, sans précision","surrénale, sans précision",OWL_ANS
C75.0,label,Tumeur maligne de la parathyroïde,parathyroïde,OWL_ANS
C75.1,label,Tumeur maligne de l'hypophyse,hypophyse,OWL_ANS
C75.2,label,Tumeur maligne du tractus craniopharyngien,tractus cranio-pharyngien,OWL_ANS
C75.3,label,Tumeur maligne de l'épiphyse,épiphyse,OWL_ANS
C75.4,label,Tumeur maligne du corpuscule carotidien,corpuscule carotidien,OWL_ANS
C75.5,label,Tumeur maligne du glomus aortique et autres paraganglions,glomus aortique et autres paraganglions,OWL_ANS
C75.8,label,"Tumeur maligne de plusieurs glandes endocrines, sans précision","atteinte pluriglandulaire, sans précision",OWL_ANS
C75.9,label,"Tumeur maligne d'une glande endocrine, sans précision","glande endocrine, sans précision",OWL_ANS
C76.0,label,"Tumeur maligne de siège mal défini de la tête, de la face et du cou","tête, face et cou",OWL_ANS
C76.1,label,Tumeur maligne de siège mal défini du thorax,thorax,OWL_ANS
C76.2,label,Tumeur maligne de siège mal défini de l'abdomen,abdomen,OWL_ANS
C76.3,label,Tumeur maligne de siège mal défini du pelvis,pelvis,OWL_ANS
C76.4,label,Tumeur maligne de siège mal défini d'un membre supérieur,membre supérieur,OWL_ANS
C76.5,label,Tumeur maligne de siège mal défini d'un membre inférieur,membre inférieur,OWL_ANS
C76.7,label,Tumeur maligne d'autres sièges mal définis,autres sièges mal définis,OWL_ANS
C76.8,label,Tumeur maligne à localisations contiguës de sièges autres et mal définis,lésion à localisations contiguës de sièges autres et mal définis,OWL_ANS
C77.0,label,"Tumeur maligne secondaire et non précisée des ganglions lymphatiques de la tête, de la face et du cou","ganglions lymphatiques de la tête, de la face et du cou",OWL_ANS
C77.1,label,Tumeur maligne secondaire et non précisée des ganglions lymphatiques intrathoraciques,ganglions lymphatiques intrathoraciques,OWL_ANS
C77.2,label,Tumeur maligne secondaire et non précisée des ganglions lymphatiques intraabdominaux,ganglions lymphatiques intra-abdominaux,OWL_ANS
C77.3,label,Tumeur maligne secondaire et non précisée des ganglions lymphatiques de l'aisselle et du membre supérieur,ganglions lymphatiques de l'aisselle et du membre supérieur,OWL_ANS
C77.4,label,Tumeur maligne secondaire et non précisée des ganglions lymphatiques inguinaux et du membre inférieur,ganglions lymphatiques inguinaux et du membre inférieur,OWL_ANS
C77.5,label,Tumeur maligne secondaire et non précisée des ganglions lymphatiques intrapelviens,ganglions lymphatiques intrapelviens,OWL_ANS
C77.8,label,Tumeur maligne secondaire et non précisée des ganglions lymphatiques de sièges multiples,ganglions lymphatiques de sièges multiples,OWL_ANS
C77.9,label,"Tumeur maligne secondaire et non précisée d'un ganglion lymphatique, sans précision","ganglion lymphatique, sans précision",OWL_ANS
C78.7,label,Tumeur maligne secondaire du foie et des voies biliaires intrahépatiques,tumeur maligne secondaire du foie,OWL_ANS
C79,label,Tumeur maligne secondaire de sièges autres et non précisés,tumeur maligne secondaire d'autres sièges,OWL_ANS
C81,label,Lymphome de Hodgkin,maladie de Hodgkin,OWL_ANS
C81.0,label,"Lymphome de Hodgkin à prédominance lymphocytaire, forme nodulaire",prédominance lymphocytaire,OWL_ANS
C81.1,label,"Lymphome de Hodgkin (classique), sclérose nodulaire",sclérose nodulaire,OWL_ANS
C81.2,label,"Lymphome de Hodgkin (classique), à cellularité mixte",cellulaire mixte,OWL_ANS
C81.3,label,"Lymphome de Hodgkin (classique), à déplétion lymphocytaire",déplétion lymphocytaire,OWL_ANS
C81.7,label,Autres formes de lymphome de Hodgkin (classique),autres formes de la maladie de Hodgkin,OWL_ANS
C81.9,label,"Lymphome de Hodgkin, sans précision","maladie de Hodgkin, sans précision",OWL_ANS
C82,label,Lymphome folliculaire,lymphome folliculaire [nodulaire] non hodgkinien,OWL_ANS
C82.0,label,"Lymphome folliculaire, grade I",petites cellules encochées folliculaires,OWL_ANS
C82.1,label,"Lymphome folliculaire, grade II",mélange de petites cellules encochées et de grandes cellules folliculaires,OWL_ANS
C82.2,label,"Lymphome folliculaire, grade III, non précisé","grandes cellules, folliculaires",OWL_ANS
C82.7,label,"Autres formes de lymphome, folliculaire","autres formes de lymphome non hodgkinien, folliculaire",OWL_ANS
C82.9,label,"Lymphome folliculaire, sans précision","lymphome folliculaire non hodgkinien, sans précision",OWL_ANS
C83,label,Lymphome non folliculaire,lymphome diffus non hodgkinien,OWL_ANS
C83.0,label,Lymphome à petites cellules B,petites cellules (diffus),OWL_ANS
C83.1,label,Lymphome à cellules du manteau,petites cellules encochées (diffus),OWL_ANS
C83.3,label,Lymphome diffus à grandes cellules B,grandes cellules (diffus),OWL_ANS
C83.5,label,Lymphome lymphoblastique,lymphoblastique (diffus),OWL_ANS
C83.7,label,Lymphome de Burkitt,tumeur de Burkitt,OWL_ANS
C83.8,label,Autres lymphomes non folliculaires,autres formes de lymphome diffus non hodgkinien,OWL_ANS
C83.9,label,"Lymphome (diffus) non folliculaire, sans précision","lymphome diffus non hodgkinien, sans précision",OWL_ANS
C84,label,Lymphomes à cellules T/NK matures,lymphomes périphériques et cutanés à cellules T,OWL_ANS
C84.4,label,"Lymphome périphérique à cellules T, non classé ailleurs",lymphome périphérique à cellules T,OWL_ANS
C84.5,label,Autres lymphomes à cellules T/NK matures,"lymphomes à cellules T, autres et non précisés",OWL_ANS
C85.9,label,"Lymphome non hodgkinien, non précisé","lymphome non hodgkinien, de type non précisé",OWL_ANS
C88.2,label,Maladie d'autres chaines lourdes,maladie des chaînes lourdes gamma,OWL_ANS
